Item Name,Qty,Price (total) (AUD),Item link,Notes
PMDC Motor,1,$57.19,https://www.aliexpress.com/item/4000389280913.html,25W 12V PMDC motor with bracket; 2000-6000RPM
Shaft Coupler,1,$5.21,https://www.aliexpress.com/item/1005008677454237.html,6mm to 12mm rigid steel shaft coupler; includes shipping
Schottky Diodes,1,$4.62,https://www.aliexpress.com/item/1005005609922977.html,20-piece pack of SK-series Schottky diodes; includes shipping
Charge Controller,1,$21.45,https://www.aliexpress.com/item/1005010731597499.html,12V/24V 30A PWM solar controller with LCD and USB ports
12V 5Ah Lead Acid Battery,1,$79.28,https://www.aliexpress.com/item/1005009975315186.html,12V 5Ah rechargeable lead-acid battery
10A Fuse,1,$5.39,https://www.aliexpress.com/item/1005008060565379.html,Glass fuse assortment including 10A fuse
14 AWG Wire,2m,$5.79,https://www.aliexpress.com/item/1005006352172497.html,Flexible copper electrical cable
15x24x5mm Bearings,3,$3.27,https://www.aliexpress.com/item/1005009747825955.html,15mm inner diameter x 24mm outer diameter x 5mm width
100x100mm x 3.6m H4 Treated Pine Post,1,$33.00,https://www.bunnings.com.au/100-x-100mm-3-6m-post-h4-treated-pine-sawn-cca_p0052584,Main tower
90mm x 1m PVC Stormwater Pipe,1,$16.04,https://www.bunnings.com.au/holman-90mm-x-1m-stormwater-pipe_p4770093,Cut into 3 x 50cm blades
Assorted Screws and Washers,1,$5.35,https://www.bunnings.com.au/stahl-383-piece-assorted-fasteners-handy-kit_p2430839,Used for mounting blades and other components
PETG Filament,1,self supplied,,Used for all 3D printed parts
Silicone Sealant,1,self supplied,,Used to weatherproof the electronics enclosure


Total Cost (AUD),,AU$236.58,,
Total Cost (USD),,US$153.78,,
